"id_celda","celda_raster","x","y","altitud_m","anio","semana","precipitacion_mm","temperatura_vecino_c","temperatura_bilineal_c","radiacion_vecino_mj_m2_dia","radiacion_bilineal_mj_m2_dia"
428,1009,-77.074998466298,3.62499930895865,56.815128326416,2011,30,40.0232467651367,22.6471424102783,23.9908905029297,11.957142829895,12.8522577285767
539,1161,-76.8749984633177,3.42499930597842,1570.08190917969,2020,8,60.6898574829102,23.4242858886719,23.1928405761719,13.1899995803833,13.0246267318726
256,762,-76.4749984573573,3.97499931417406,1839.12805175781,2020,7,7.1228346824646,19.9385719299316,21.9228134155273,18.5742855072021,16.9428367614746
101,473,-76.1249984521419,4.37499932013452,930.004577636719,2018,19,72.7068481445312,20.7057151794434,19.1560573577881,15.3128566741943,14.9839496612549
147,586,-76.0249984506518,4.22499931789935,1056.12963867188,2015,48,0,19.4057140350342,19.13063621521,13.6985712051392,15.326847076416
577,1209,-76.3249984551221,3.37499930523336,989.5107421875,2021,29,0,16.1214294433594,16.6338233947754,15.33571434021,15.1367349624634
100,472,-76.1749984528869,4.37499932013452,1157.849609375,2022,2,0,20.2385711669922,19.0413150787354,14.5228567123413,14.5642900466919
351,884,-75.9249984491616,3.82499931193888,3613.14111328125,2025,21,11.9162683486938,16.2014293670654,17.5516967773438,15.4428567886353,15.4312019348145
636,1296,-77.5249984730035,3.22499930299818,10.0182275772095,2020,38,59.2983093261719,25.4042854309082,25.721212387085,16.7000007629395,16.3373928070068
24,215,-76.0749984513968,4.72499932534993,1471.33935546875,2024,40,82.6779327392578,21.6399993896484,20.1102714538574,16.3285713195801,16.7804393768311
664,1341,-77.124998467043,3.17499930225313,191.504211425781,2014,43,172.831512451172,20.6171436309814,22.8481597900391,12.9871425628662,13.9772567749023
571,1203,-76.6249984595924,3.37499930523336,1953.40356445312,2012,8,0,21.3642864227295,18.5481967926025,14.9071426391602,15.1641912460327
130,546,-76.1749984528869,4.27499931864441,924.531494140625,2020,18,38.3038864135742,22.6828575134277,20.7351226806641,15.3085718154907,15.4167957305908
584,1225,-77.3749984707683,3.3249993044883,27.1932239532471,2013,33,393.540832519531,25.5599994659424,24.6648330688477,13.8685712814331,14.0499563217163
667,1345,-76.9249984640628,3.17499930225313,844.435180664062,2022,52,57.5057220458984,20.248571395874,21.0716972351074,13.9714288711548,13.8195428848267
53,323,-76.224998453632,4.57499932311476,1667.8642578125,2016,44,56.2353134155273,20.3257141113281,20.1635780334473,14.5985717773438,15.1586198806763
224,726,-76.4249984566122,4.02499931491912,1748.56201171875,2017,44,116.155403137207,17.33571434021,19.0686321258545,15.2285718917847,15.289813041687
522,1135,-76.3249984551221,3.47499930672347,978.887817382812,2013,28,0,15.6085710525513,16.3740272521973,14.5871429443359,14.7609968185425
412,980,-76.6749984603375,3.67499930970371,1189.70886230469,2015,22,30.4200096130371,22.9071426391602,21.4027538299561,14.3057146072388,14.5025129318237
349,882,-76.0249984506518,3.82499931193888,2832.61865234375,2021,22,31.7458915710449,18.4771423339844,17.5792846679688,15.6957139968872,16.4724750518799
446,1027,-76.1749984528869,3.62499930895865,1674.27648925781,2017,9,25.8202209472656,15.7557144165039,16.5111885070801,15.3157138824463,15.4319972991943
417,985,-76.4249984566122,3.67499930970371,984.850524902344,2025,46,32.8661003112793,15.9757146835327,18.3738174438477,13.5328569412231,13.6582279205322
645,1306,-77.0249984655529,3.22499930299818,1051.82604980469,2024,35,11.3439712524414,22.7328567504883,24.0426483154297,16.9614276885986,17.4960384368896
680,1384,-76.8249984625727,3.12499930150807,1833.25561523438,2011,50,0,19.251428604126,19.2248134613037,12.5185718536377,12.4231405258179
647,1308,-76.9249984640628,3.22499930299818,1228.59436035156,2014,13,99.219612121582,21.6142864227295,22.5500354766846,16.9814281463623,16.3163547515869
190,672,-77.2749984692782,4.07499931566417,29.325927734375,2023,28,107.369888305664,27.6471424102783,26.7343654632568,17.5242862701416,17.3245296478271
540,1162,-76.8249984625727,3.42499930597842,1463.97534179688,2012,16,66.7946929931641,22.4485721588135,21.631103515625,14.7799997329712,15.7342739105225
34,252,-76.0749984513968,4.67499932460487,1275.46557617188,2010,7,12.2193145751953,22.6828575134277,21.0329837799072,13.8699998855591,15.4271211624146
443,1024,-76.3249984551221,3.62499930895865,995.829956054688,2020,49,11.0310707092285,16.5185718536377,17.6538410186768,14.4328575134277,14.7966909408569
29,220,-75.8249984476715,4.72499932534993,1125.88415527344,2010,19,47.7367172241211,15.8900003433228,18.563928604126,17.6514282226562,17.6501731872559
530,1152,-77.3249984700232,3.42499930597842,22.7166137695312,2021,43,85.4468002319336,26.3171424865723,25.0478973388672,14.6457147598267,14.7953834533691
14,175,-76.224998453632,4.77499932609499,1927.39086914062,2023,50,15.5479402542114,22.8500003814697,22.4303169250488,12.1471424102783,12.7273683547974
609,1250,-76.1249984521419,3.3249993044883,2637.75122070312,2016,16,39.8178520202637,17.6971435546875,17.7629470825195,16.3171424865723,17.2055435180664
367,911,-76.4249984566122,3.77499931119382,1241.67163085938,2021,16,53.2452430725098,18.3785705566406,18.9421997070312,16.6314277648926,16.7741527557373
545,1167,-76.5749984588474,3.42499930597842,1253.45971679688,2024,45,111.870811462402,22.4200000762939,19.4911708831787,14.748571395874,14.7411212921143
426,994,-75.9749984499067,3.67499930970371,3580.73046875,2012,14,19.6716232299805,15.9314289093018,17.1895904541016,15.8128566741943,15.2448129653931
275,788,-77.0249984655529,3.924999313429,27.1637363433838,2023,4,25.1118946075439,23.4828567504883,24.0062713623047,17.7942848205566,16.3282089233398
346,879,-76.1749984528869,3.82499931193888,2347.58422851562,2012,27,4.40175771713257,17.9571437835693,17.0586853027344,15.6099996566772,16.094087600708
352,885,-75.8749984484166,3.82499931193888,3856.46630859375,2023,43,39.5811500549316,17.4128570556641,18.0365467071533,15.6371431350708,14.6915607452393
316,837,-76.4249984566122,3.87499931268394,1391.37622070312,2023,13,19.0658702850342,18.4742851257324,19.594654083252,14.6385717391968,14.3238391876221
684,1388,-76.6249984595924,3.12499930150807,1079.39135742188,2015,19,27.5172290802002,22.6571426391602,20.3489818572998,15.747142791748,15.3747758865356
371,915,-76.224998453632,3.77499931119382,1512.7392578125,2010,21,62.0022850036621,18.3557147979736,17.5112838745117,12.752857208252,13.4647169113159
259,765,-76.3249984551221,3.97499931417406,1011.62432861328,2010,18,39.6474418640137,18.4228572845459,19.0263080596924,15.3457145690918,15.9312391281128
156,615,-76.4249984566122,4.17499931715429,2304.2626953125,2019,19,27.9582939147949,19.1985721588135,21.3857383728027,13.2299995422363,13.4704275131226
561,1193,-77.124998467043,3.37499930523336,91.8039016723633,2016,10,44.3057022094727,22.7342853546143,23.7268466949463,16.1814289093018,15.3387241363525
53,323,-76.224998453632,4.57499932311476,1667.8642578125,2021,52,52.2339172363281,20.8742866516113,20.7108268737793,12.582857131958,13.2125434875488
25,216,-76.0249984506518,4.72499932534993,1077.3818359375,2025,47,31.4078788757324,20.8557147979736,18.9760360717773,13.4628572463989,13.8479423522949
619,1268,-77.074998466298,3.27499930374324,376.554351806641,2011,27,113.27530670166,22.8728580474854,23.310977935791,16.2114276885986,15.2087516784668
316,837,-76.4249984566122,3.87499931268394,1391.37622070312,2016,45,32.4163208007812,18.3899993896484,19.3328132629395,14.8428573608398,14.312650680542
440,1021,-76.4749984573573,3.62499930895865,1068.1484375,2012,14,18.1063137054443,15.9314289093018,18.6955680847168,14.8371429443359,14.8290681838989
652,1313,-76.6749984603375,3.22499930299818,1716.0107421875,2018,23,26.3350715637207,21.7257137298584,20.217098236084,14.1371431350708,13.6738185882568
41,259,-75.7249984461814,4.67499932460487,1431.65832519531,2011,49,84.1857376098633,14.374285697937,15.389009475708,13.6585712432861,13.6244945526123
201,691,-76.3249984551221,4.07499931566417,1014.76501464844,2020,50,16.3287162780762,18.5400009155273,19.488842010498,14.9128570556641,15.8322649002075
499,1102,-76.1249984521419,3.52499930746853,2400.97729492188,2016,46,70.4789962768555,15.9128570556641,16.5858478546143,14.3614282608032,14.7263689041138
