"id_celda","x","y","precipitacion_mm","ajuste_tendencia","residual_tendencia"
122,-75.8249984476715,4.32499931938946,51.9910087585449,30.2123570808027,21.7786516777422
123,-76.5249984581023,4.27499931864441,69.6018447875977,58.1002409249939,11.5016038626038
124,-76.4749984573573,4.27499931864441,66.0197906494141,56.0239422463304,9.99584840308362
125,-76.4249984566122,4.27499931864441,52.9207153320312,53.947643567667,-1.02692823563573
126,-76.3749984558672,4.27499931864441,42.888370513916,51.8713448890041,-8.9829743750881
127,-76.3249984551221,4.27499931864441,41.7596855163574,49.7950462103407,-8.03536069398324
128,-76.2749984543771,4.27499931864441,45.8185386657715,47.7187475316772,-1.90020886590572
129,-76.224998453632,4.27499931864441,50.7087326049805,45.6424488530138,5.06628375196671
130,-76.1749984528869,4.27499931864441,50.1457366943359,43.5661501743503,6.57958651998564
131,-76.1249984521419,4.27499931864441,44.0330657958984,41.4898514956868,2.5432143002116
132,-76.0749984513968,4.27499931864441,43.3712463378906,39.4135528170234,3.95769352086724
133,-76.0249984506518,4.27499931864441,42.4718933105469,37.3372541383599,5.13463917218695
134,-75.9749984499067,4.27499931864441,66.9720001220703,35.2609554596965,31.7110446623738
135,-75.9249984491616,4.27499931864441,77.3305206298828,33.184656781033,44.1458638488498
136,-75.8749984484166,4.27499931864441,85.9416198730469,31.1083581023702,54.8332617706767
137,-75.8249984476715,4.27499931864441,72.042236328125,29.0320594237067,43.0101769044183
138,-77.2749984692782,4.22499931789935,113.029853820801,88.0644234478491,24.9654303729517
139,-76.4249984566122,4.22499931789935,51.0218353271484,52.7673459105709,-1.7455105834225
140,-76.3749984558672,4.22499931789935,42.3325424194336,50.6910472319081,-8.35850481247448
141,-76.3249984551221,4.22499931789935,42.9837265014648,48.6147485532446,-5.63102205177977
142,-76.2749984543771,4.22499931789935,43.7619857788086,46.5384498745812,-2.77646409577257
143,-76.224998453632,4.22499931789935,46.6607208251953,44.4621511959177,2.19856962927761
144,-76.1749984528869,4.22499931789935,46.0168495178223,42.3858525172542,3.63099700056802
145,-76.1249984521419,4.22499931789935,43.5811309814453,40.3095538385908,3.27157714285452
146,-76.0749984513968,4.22499931789935,44.0354461669922,38.2332551599273,5.80219100706485
147,-76.0249984506518,4.22499931789935,43.1894111633301,36.1569564812639,7.0324546820662
148,-75.9749984499067,4.22499931789935,61.3247451782227,34.0806578026004,27.2440873756222
149,-75.9249984491616,4.22499931789935,69.1127777099609,32.004359123937,37.108418586024
150,-75.8749984484166,4.22499931789935,84.8973541259766,29.9280604452741,54.9692936807025
