"anio","semana","escala","modelo","formula","vif_max","colineal","n","MAE","RMSE","sesgo","R2"
2011,1,"log1p","Mxy_T",".respuesta ~ x_km + y_km + temperatura_bilineal_c",37.3091070537532,TRUE,686,65.8259572103576,172.540364631847,16.8110392695828,-2.10383844136524
2011,1,"log1p","Mxy_R",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia",1.92164676333728,FALSE,686,76.0576663543173,215.917671388184,17.2374032544584,-3.8606467568684
2011,1,"log1p","Mxy_TR",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",50.9261845197539,TRUE,686,59.03963261508,121.547271234262,4.54028329926282,-0.540309915565049
2011,1,"log1p","Mxy_TA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + altitud_m",54.8200241957535,TRUE,686,58.8531167839141,130.145221983867,14.9264433162533,-0.765932671896713
2011,1,"log1p","Mxy_RA",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia + altitud_m",3.33506656148342,FALSE,686,72.3803724586551,200.865481528558,15.5008317856016,-3.20657178989918
2011,1,"log1p","Mxy_TRA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",75.2249352877544,TRUE,686,53.5069962404149,93.9882833120603,3.93002645657443,0.0789883594023768
2012,1,"original","M0",".respuesta ~ 1",NA,FALSE,686,71.0154184275858,98.343740227084,-1.99910140271909e-14,-0.00292183920294109
2012,1,"original","Mxy",".respuesta ~ x_km + y_km",1.3544415662,FALSE,686,49.7674935115189,64.8069958081587,-0.0764725598329069,0.564470652014266
2012,1,"original","Malt",".respuesta ~ altitud_m",1,FALSE,686,61.347086968916,79.8507098809312,-0.0929673963676099,0.338802491537199
2012,1,"original","MT",".respuesta ~ temperatura_bilineal_c",1,FALSE,686,48.2241609435288,65.8903054888541,-0.0493594262859009,0.549788392712914
2012,1,"original","MR",".respuesta ~ radiacion_bilineal_mj_m2_dia",1,FALSE,686,70.5108653706334,98.0638206910966,0.0230184057571191,0.00277934479536468
2012,1,"original","MTR",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",1.07431557253778,FALSE,686,41.7166536109669,59.1418187710318,-0.0392742672847505,0.637287103228666
2012,1,"original","MTA",".respuesta ~ temperatura_bilineal_c + altitud_m",1.84875046862568,FALSE,686,47.3876353777979,65.0157136880192,-0.0631247227740482,0.561660796626276
2012,1,"original","MRA",".respuesta ~ radiacion_bilineal_mj_m2_dia + altitud_m",1.08051401619226,FALSE,686,58.570065301613,75.7101297471666,-0.113308777472436,0.405596132564343
