"anio","semana","n_celdas","estado","escala","modelo","formula","vif_max","MAE","RMSE","sesgo","R2","moran_I","moran_p","familia","nugget","psill","range_km","SSE","tipo_kriging","RMSE_mcg_kriging","MAE_mcg_kriging","sesgo_mcg_kriging","R2_predictivo_mcg_kriging","n_validacion_kriging","cobertura95_escala","validacion"
2019,27,686,"FINAL_KRIGING","original","MTR",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",2.6695415682415,10.2336973296943,12.3790798898538,-0.00745047372722445,0.563406127485475,0.857952696008242,0.005,"esferico",0,167.69882386825,65.2508065193916,1276.9555224969,"universal",3.98602500241239,2.74509906816784,-0.0272147249482247,0.954733080414746,686,0.943148688046647,"LOO_condicional_covarianza_fija"
2020,27,686,"FINAL_KRIGING","original","MTRA",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",2.04704762029292,12.1145310787566,15.3871943882754,-0.0080302053216042,0.423753607096444,0.819794205568438,0.005,"esferico",20.0415264658515,259.529844657969,96.2080039103427,156.8468857566,"universal",6.03425711212104,4.42526093172274,-0.02456259927782,0.911378935743181,686,0.967930029154519,"LOO_condicional_covarianza_fija"
2021,27,686,"FINAL_KRIGING","raiz","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,5.89838535729676,8.8944120118145,-2.20986170599624,0.758719063136827,0.664820566002628,0.005,"esferico",0.504290504795063,1.79857701943463,49.8293029703935,0.18517790097806,"universal",3.89594412095764,2.63749414439725,-0.839858134945863,0.953707145334721,686,0.951895043731778,"LOO_condicional_covarianza_fija"
2022,27,686,"FINAL_KRIGING","original","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,10.8779554318715,13.993105114019,-0.013476951629247,0.300627141715398,0.776240840214703,0.005,"exponencial",15.6718307590292,253.27241967189,60.2032042641303,1055.67038073561,"universal",6.25142409040634,3.90189551979304,-0.0338986068561157,0.860415079052367,686,0.934402332361516,"LOO_condicional_covarianza_fija"
2023,27,686,"FINAL_KRIGING","log1p","Mxy_RA",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia + altitud_m",8.2513417640188,10.326738251598,15.7381849531513,-3.65314654771571,0.733666439170162,0.851897680840012,0.005,"esferico",0,0.283387305433365,63.6950890132214,0.00404323402023804,"universal",5.20550109102495,3.51179455045561,-0.340053931903237,0.970863210950618,686,0.93731778425656,"LOO_condicional_covarianza_fija"
2024,27,686,"FINAL_KRIGING","log1p","MTRA",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",2.24372007802216,13.3846867059728,20.1662359345645,-3.24163357933631,0.665074142353019,0.673933265223371,0.005,"esferico",0.0348540764936899,0.10613812861288,47.5938148505465,0.00128948624147704,"universal",5.86361378404358,3.80071018084966,-0.635391471385331,0.971684143382267,686,0.985422740524781,"LOO_condicional_covarianza_fija"
2025,27,686,"FINAL_KRIGING","raiz","Mxy",".respuesta ~ x_km + y_km",1.3544415662,14.7158077551682,24.0550570690476,-2.94853107483905,0.679613545840566,0.928238853238057,0.005,"gaussiano",0.126431736417273,3.41822727820454,41.6605158641341,0.364076699361395,"universal",5.88284547781404,3.29931717375526,-0.200336971035386,0.980838202554685,686,0.877551020408163,"LOO_condicional_covarianza_fija"
2011,28,686,"FINAL_KRIGING","log1p","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,11.2496297253574,19.8247348194126,-3.74162304207372,0.76971549694237,0.748341223141357,0.005,"esferico",0.00696127681966862,0.131035293860791,69.4156141769545,0.000179872427813045,"universal",5.99751845688656,2.94734736340934,-0.26544896351754,0.978923760457966,686,0.972303206997085,"LOO_condicional_covarianza_fija"
2012,28,686,"FINAL_KRIGING","log1p","MRA",".respuesta ~ radiacion_bilineal_mj_m2_dia + altitud_m",1.90071978957815,13.4823267756542,23.2947727101296,-7.45980344120855,0.897753057321349,0.842353389709542,0.005,"exponencial",0.0484058387143553,1.36351944813651,52.1001658548404,0.00619847559112233,"universal",6.13866413088688,3.38990594576152,-0.494188692541945,0.992899627708577,686,0.941690962099125,"LOO_condicional_covarianza_fija"
2013,28,686,"FINAL_KRIGING","raiz","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,11.4466838683744,23.2548757393495,-4.9668210261573,0.684311752685814,0.815599850140082,0.005,"esferico",0.297866448843334,4.97445926608317,74.1480485866349,1.39545663354388,"universal",7.15273821574288,3.33544980503334,-0.856442735215442,0.970134139755379,686,0.954810495626822,"LOO_condicional_covarianza_fija"
2014,28,686,"FINAL_KRIGING","log1p","Mxy",".respuesta ~ x_km + y_km",1.3544415662,5.69894793828054,8.48157194980112,-1.67712296756289,0.852419000396111,0.798867363551492,0.005,"esferico",0.00465155693495811,0.0977935572048561,60.1281368976491,0.000437934510804346,"universal",2.80603260571097,1.82243997635195,-0.181298682920838,0.983846628814823,686,0.950437317784257,"LOO_condicional_covarianza_fija"
2015,28,686,"FINAL_KRIGING","log1p","MTA",".respuesta ~ temperatura_bilineal_c + altitud_m",1.83317113717694,10.0658699990524,14.7782045319578,-2.01923582649913,0.86191057406633,0.863852397794743,0.005,"esferico",0,0.0732640074122776,64.3618214264517,0.000171541232103475,"universal",4.40834425362208,2.88635904080825,-0.184459223699206,0.987712371235979,686,0.975218658892128,"LOO_condicional_covarianza_fija"
2016,28,686,"FINAL_KRIGING","log1p","Mxy",".respuesta ~ x_km + y_km",1.3544415662,7.46167596787186,12.8256709577853,-3.60524259395248,0.677925229491,0.764441102341446,0.005,"esferico",0.0313654657656335,0.355475285747473,43.8412165478504,0.00126935230678627,"universal",3.60917176161574,2.28327891668326,-0.420588578210156,0.974495805032039,686,0.951895043731778,"LOO_condicional_covarianza_fija"
