"familia","metodo","nugget","psill","range_km","SSE"
"gaussiano","MCO",99.6100010494332,452.632716945979,30.21735814724,110692.133811342
"gaussiano","MCP",92.1185549074764,478.473833053341,31.0868114884108,1875729154.08869
"exponencial","MCO",0,174.74853891856,46.8565626172449,1555.99185306236
"exponencial","MCP",0,178.975846304834,48.7924957775201,26407057.9970783
"esferico","MCO",10.512167784057,147.766607009195,98.979461312619,590.075094892003
"esferico","MCP",4.76143165317189,154.681630262365,98.1563654385508,9267455.13907465
"gaussiano","MCO",31.3198942826438,128.077734970886,49.1966169396978,649.095724326033
"gaussiano","MCP",31.2662574045128,129.771725237083,50.0126415616418,10763042.0760234
"exponencial","MCO",31.4399918752743,106.402171574518,31.3210341037344,268.80862895166
"exponencial","MCP",37.1404541644965,100.567694568487,32.8354514339214,4075577.26249325
"esferico","MCO",45.2750937698901,86.8857482462943,75.6678605980371,501.80658023283
"esferico","MCP",54.8947417904576,76.9305105772125,82.1870030389717,6827206.53556917
"gaussiano","MCO",56.4679224137084,75.3606693487778,35.7099340764207,554.478867633672
"gaussiano","MCP",67.0701222289843,64.9752250087104,40.7039332431966,7141032.91405424
"exponencial","MCO",0,5.73180481419734,27.9730706906572,3.01699908463273
"exponencial","MCP",0,5.79486581522011,27.0836696350329,49815.2778933831
"esferico","MCO",0.12094388168082,5.43317633504336,67.9192039800529,1.46192230320877
"esferico","MCP",0.0614748735902724,5.55871111275258,68.6582255374625,24777.8327183626
"gaussiano","MCO",0.911567194729481,4.64938016473709,33.2397788580191,1.57362611635417
"gaussiano","MCP",0.960674474482264,4.67181219612914,34.0283875023017,26737.3767579146
"exponencial","MCO",0.113343015030225,0.455695211590429,53.8619756690429,0.00180269848006919
"exponencial","MCP",0.116317569497102,0.447324653348861,52.7700287997604,30.4275562617177
"esferico","MCO",0.161896482747409,0.357540351738176,116.984475914798,0.00526599215826445
"esferico","MCP",0.192514409251906,0.331708733177638,126.708717228077,75.2437547922848
"gaussiano","MCO",0.193962978249004,0.313956201688074,50.2468445724668,0.00624420131102702
"gaussiano","MCP",0.220506029972561,0.288294292754634,53.8507715349473,83.8536264374597
"exponencial","MCO",0.160173028434086,2.33115464052081,19.6982240042182,0.227729204651295
"exponencial","MCP",0.177899011096577,2.34238537852489,20.6552321989539,4035.97821422688
"esferico","MCO",0.770512063862436,1.7088443869735,66.3541224769732,0.242008510728541
"esferico","MCP",1.00309925776361,1.50999264625265,75.8137748604208,3523.23897684496
"gaussiano","MCO",0.96834932646214,1.49779542256336,30.1691180446528,0.264510095900046
"gaussiano","MCP",1.20410189403021,1.30103406243708,35.7389320669201,3986.29366926492
"exponencial","MCO",0,2.32447302748837,33.7884787540114,0.602669346835499
"exponencial","MCP",0,2.34782322113485,32.5093392621823,9763.67741554566
"esferico","MCO",0,2.20952442760655,75.8945056019964,0.227087640644437
"esferico","MCP",0,2.23526269889087,76.2293692120241,3693.05635322245
"gaussiano","MCO",0.240500312224496,1.97363102151719,36.396158994721,0.237442074146915
"gaussiano","MCP",0.215614820438439,2.02609147072543,36.6467228048249,3913.63810805672
"exponencial","MCO",0,473.366260129739,35.0435451931998,4065.56267131712
"exponencial","MCP",0,473.04443919596,33.980368668415,66710842.3759029
"esferico","MCO",18.4529773859459,425.423442002835,77.4806309030733,553.384028430311
"esferico","MCP",24.5712651603559,419.646092940024,78.3137046761509,7731484.46332147
"gaussiano","MCO",78.2200341443668,366.217356617839,37.776502815532,1336.53008480968
"gaussiano","MCP",93.7689619827572,352.280482138502,39.182615300133,15650368.136092
"exponencial","MCO",0,45.9145174582967,17.1355322393582,6.461727249414
"exponencial","MCP",0,45.9173220161137,16.94191333238,93500.0259354681
"esferico","MCO",8.27721632695295,36.8877840674144,47.7946822465221,21.9708323295427
"esferico","MCP",12.6036969536402,32.6400975823914,52.2914068771223,322857.839621243
"gaussiano","MCO",13.5385508786892,31.5724470423236,22.8342169077328,20.461042641167
"gaussiano","MCP",17.6465717856491,27.6406810811064,25.7253020462323,303225.107119273
"exponencial","MCO",0,341.96233991611,18.552143551708,15710.7744269909
"exponencial","MCP",0,344.991829133203,16.7353844170531,252814372.695091
"esferico","MCO",0,338.879690836579,48.1140648164317,8380.83175543361
"esferico","MCP",0,343.277578008148,48.5568740386638,152384388.52103
"gaussiano","MCO",45.0588719817428,293.799124285929,23.1769982987414,8676.76739952238
"gaussiano","MCP",37.3426462835895,305.84438463495,23.0970036217403,158132939.233631
"exponencial","MCO",5.39484969457797,217.866189400178,13.9477185055765,1779.03422293291
"exponencial","MCP",17.0226043679688,204.699828074579,14.2273394740942,29524883.2133006
"esferico","MCO",52.0305519044786,168.225579156971,39.395723039078,2189.6911371836
"esferico","MCP",88.7418457962997,131.213502962733,48.3140733562444,34563679.5008667
"gaussiano","MCO",80.930843462691,139.550528949465,19.7144420294792,2120.33975995631
"gaussiano","MCP",97.7704370518084,121.645068429627,21.5762687756641,33800676.3926824
"exponencial","MCO",0.0888736764982336,0.446573835841801,9.84238718424076,0.0121670491010343
"exponencial","MCP",0.0385352181210129,0.50138338351687,9.45837687822143,186.465406874896
"esferico","MCO",0.252779643750496,0.282491723086695,36.7777294505506,0.0111943515866582
"esferico","MCP",0.256741579907684,0.282996571204703,37.9633985218379,171.702912053228
"gaussiano","MCO",0.301255646807843,0.23407888503972,18.2145365962179,0.0112781956510774
"gaussiano","MCP",0.298316218130858,0.241400276809099,18.438127259568,173.244482538896
"exponencial","MCO",0.137898846861122,1.06685666520161,16.3738706385447,0.014975123492926
"exponencial","MCP",0.177188957624162,1.03418691821259,17.2101632254419,260.399152269566
"esferico","MCO",0.412487186774303,0.782664171537308,52.2309450239785,0.023294835955111
"esferico","MCP",0.55629504922736,0.649193156621308,62.4842854117347,303.216129722352
"gaussiano","MCO",0.519901645556938,0.673267920864709,24.7118939301474,0.0246528381590308
"gaussiano","MCP",0.644095841159731,0.560021311838164,29.7611071626735,332.886452283039
"exponencial","MCO",15.7575456124989,201.069036877064,30.4024245165148,1074.10503141428
"exponencial","MCP",12.5592749564527,204.269942585392,29.9693186116742,17896883.6118622
"esferico","MCO",47.539634720925,161.80898774849,81.1608064975264,1137.85643841439
"esferico","MCP",57.7052052114951,151.881015916866,84.9031111413771,15993007.6455079
"gaussiano","MCO",68.4566777946155,140.250445589878,38.396710129805,1397.12723840717
"gaussiano","MCP",81.1974059517686,128.503540132336,41.656796789088,18881209.0985186
"exponencial","MCO",8.59875550379426,54.7619831117217,42.4924706930223,190.154363716514
"exponencial","MCP",3.25094171503958,60.3957264845468,39.4286308275819,3013936.51485185
"esferico","MCO",14.0462015105078,45.4142155276609,98.7527376784718,89.1119647145732
"esferico","MCP",12.4050024007122,47.5424795118479,98.4527539924335,1422614.29279581
"gaussiano","MCO",20.3353084267441,39.3661155353297,48.6760814031195,98.6607702241632
"gaussiano","MCP",20.3262307527017,39.979292805723,49.6356301781134,1636714.09405142
"exponencial","MCO",0,530.777768348682,18.7936115517423,27177.4062741441
"exponencial","MCP",0,536.958139601609,17.8285389372348,456851273.920164
"esferico","MCO",42.5544400851984,483.266285083749,51.8368870876842,17543.4738911188
"esferico","MCP",44.731080081095,488.114952933613,52.9397254105185,306049797.555652
"gaussiano","MCO",115.355977549316,410.250926381494,25.1885586995839,18270.8646969562
"gaussiano","MCP",118.096521272305,414.771472217962,25.7215762816726,319783793.984616
"exponencial","MCO",0,178.675345470639,35.8947500268386,912.856338786653
"exponencial","MCP",0,180.679127413586,36.3593232916184,16368508.789057
"esferico","MCO",17.2378360622562,152.003858446464,87.1417110781258,314.791028396322
"esferico","MCP",18.9160267575927,151.255072592567,88.4727667800038,5451760.09706664
"gaussiano","MCO",37.6863556499609,131.454457964644,42.0070346627755,513.593124985451
"gaussiano","MCP",43.3197277748829,127.35706341025,43.9641568252897,8219823.70417673
"exponencial","MCO",1.87618101755715,43.4775643619144,27.2509174477229,40.4405102603819
"exponencial","MCP",4.17002385928609,41.5393057336478,29.4130526885342,773746.671602803
"esferico","MCO",11.0982863812901,33.307546205647,81.8269679133128,78.5521728068546
"esferico","MCP",16.8988705046802,28.1598122243317,97.5929615836654,1080132.32747989
"gaussiano","MCO",13.2175042474819,30.3549203342101,33.3473067050256,80.7907246415769
"gaussiano","MCP",19.5788136935603,24.8487612178834,43.0329964571499,1287785.33534223
"exponencial","MCO",6.52331194514445,454.742366913883,42.2599150715737,11966.6208413624
"exponencial","MCP",23.6408506102939,449.745021037224,46.8491415321219,214616404.329658
"esferico","MCO",61.908089239273,367.783526461903,101.341944833313,11185.5007417266
"esferico","MCP",79.8719266702942,351.129991110348,105.06418493906,177992120.072233
"gaussiano","MCO",114.410917314465,316.066139754467,49.7941671019715,14801.5081281666
"gaussiano","MCP",147.42624684536,290.572032567851,55.5287934476641,211524827.060754
"exponencial","MCO",0,8.59491816053991,71.2835166240369,1.86189918231134
"exponencial","MCP",0,8.60136898692255,70.0158453851009,30246.0444332617
"esferico","MCO",0,6.80864918340671,109.538757433109,0.369833022950451
"esferico","MCP",0,6.82218762007158,109.359207907564,6057.10323258982
"gaussiano","MCO",0.62300268175305,6.21837089349891,52.2095386389139,0.344578976528886
"gaussiano","MCP",0.756335012116948,6.12810080557675,53.4862712101585,5279.87149493289
"exponencial","MCO",0,228.657914926865,17.7017099087785,7541.03969177228
"exponencial","MCP",0,230.837299592508,15.7405673311277,107591854.147867
"esferico","MCO",0,226.179326257232,44.817730267552,4054.74826272141
"esferico","MCP",0,229.209987284218,44.6005932042638,65923838.8776644
"gaussiano","MCO",19.6454898934144,206.695925954211,21.0626372772521,4012.47020725532
"gaussiano","MCP",13.529417760678,215.893699874117,20.9781184403878,66915044.6992019
"exponencial","MCO",0,0.761502754431807,19.6335264567862,0.0154214469962394
"exponencial","MCP",0,0.753882561093427,18.6318841597055,256.030907627424
"esferico","MCO",0.105260919904738,0.638646184451136,51.1021491741576,0.0175874072597065
"esferico","MCP",0.143275500522657,0.595437457225715,52.4993479319176,269.093302181666
"gaussiano","MCO",0.201031583833897,0.542678193265529,24.8312926752644,0.0179411194333986
"gaussiano","MCP",0.235336540480246,0.503963205717156,25.7604637277487,272.952299380759
"exponencial","MCO",0,228.037048011309,17.4047061961554,6484.25164026903
"exponencial","MCP",0,230.95611595691,16.3349847907337,98228143.8392809
"esferico","MCO",3.80687983411017,221.32266088354,44.2665546776368,4727.90205588765
"esferico","MCP",5.31805986072267,223.217134382429,45.5621243957034,77010625.1857205
"gaussiano","MCO",40.5933184142152,184.837738804532,22.0231691137553,4764.44182613326
"gaussiano","MCP",40.9592965013385,187.864746811681,22.4997206733749,77414424.8571636
"exponencial","MCO",0,300.352592772082,33.0812169887082,667.689273290514
"exponencial","MCP",0,297.982443721228,31.7404188598624,8730122.89426803
"esferico","MCO",15.6978303379911,266.007037071202,72.7609327722778,1070.81521933591
"esferico","MCP",30.2337447440251,250.434545255758,75.1757167800947,15409268.9465685
"gaussiano","MCO",51.9144144063887,229.536843792834,34.9796011125811,1314.17247970795
"gaussiano","MCP",70.9361638781872,210.680357067337,37.4992598708501,16271548.6365336
"exponencial","MCO",0,574.594129119137,33.9515340702954,4178.60871453608
"exponencial","MCP",0,567.178171777168,32.0116380324158,61561491.4022168
