"anio","semana","media","mediana","sd","minimo","maximo","n_validos","corte"
2023,4,38.2888201992991,33.7821006774902,18.4548992100136,0,121.408737182617,686,"2023_banda_04"
2013,30,38.3300223420035,19.5422849655151,42.8956325452535,4.28391981124878,206.855712890625,686,"2013_banda_30"
2023,13,38.3691427353172,38.1249694824219,14.9806624701022,0,75.8673706054688,686,"2023_banda_13"
2024,36,38.486611664469,12.5242137908936,54.4967788046904,0,286.549682617188,686,"2024_banda_36"
2019,50,38.5309131917036,34.3829174041748,25.4040931816639,0,117.296974182129,686,"2019_banda_50"
2020,41,38.6401557421893,26.0036678314209,33.1865159344597,0,150.350860595703,686,"2020_banda_41"
2021,15,38.7105499613737,36.6489295959473,20.3641432151051,0,100.094772338867,686,"2021_banda_15"
2016,23,38.7828226777624,31.3855810165405,22.9239095169959,4.534010887146,120.260391235352,686,"2016_banda_23"
2019,51,38.8432702163218,31.1993036270142,29.9423097050769,0,145.932083129883,686,"2019_banda_51"
2020,10,38.9226409589584,34.8523635864258,22.2832296847456,0,125.241790771484,686,"2020_banda_10"
2019,25,39.1164289361881,26.2111778259277,31.1350421028371,7.13705253601074,146.574127197266,686,"2019_banda_25"
2017,23,39.124780731368,26.122200012207,30.7633588657191,7.22170257568359,142.109848022461,686,"2017_banda_23"
2011,29,39.2002129547798,32.9575042724609,35.2199900791332,0,216.511856079102,686,"2011_banda_29"
2010,38,39.2958586723394,21.0707759857178,49.1374616898288,0,303.477386474609,686,"2010_banda_38"
2017,27,39.450164852615,20.1451530456543,42.8350864014864,0,210.143753051758,686,"2017_banda_27"
2020,30,39.5115385602063,32.6174030303955,31.3210316323367,0.264921337366104,204.79753112793,686,"2020_banda_30"
2013,27,39.5413094734659,17.2208042144775,48.5454944354853,0,224.283782958984,686,"2013_banda_27"
2011,12,39.5453343725065,30.9117307662964,21.7835528551278,0,106.797248840332,686,"2011_banda_12"
2016,12,39.8931967954941,33.5097122192383,21.8536516411618,0,104.53889465332,686,"2016_banda_12"
2018,4,39.9693861535965,26.3461856842041,31.3934787506076,9.97351551055908,154.675216674805,686,"2018_banda_04"
2011,43,40.1242398770836,31.2035627365112,31.1983745054777,9.73985481262207,225.751373291016,686,"2011_banda_43"
2019,6,40.1997882346718,31.4552478790283,32.9828445761631,0,123.212242126465,686,"2019_banda_06"
2020,50,40.2967548589317,30.3303413391113,36.4788245131689,0,209.096618652344,686,"2020_banda_50"
2024,29,40.3612508737311,10.8571109771729,60.9721909250238,0,273.494842529297,686,"2024_banda_29"
2017,9,40.3734187732285,37.5550231933594,18.7004165125494,0,103.974761962891,686,"2017_banda_09"
2023,17,40.4088705218568,39.841516494751,10.9002757253142,16.9184379577637,83.4521408081055,686,"2023_banda_17"
2023,32,40.4662983907555,16.9124221801758,49.7119565509876,0,219.403198242188,686,"2023_banda_32"
2018,5,40.563270983126,36.7113094329834,19.621421996927,0,111.269927978516,686,"2018_banda_05"
2024,25,40.8147799657663,26.8739652633667,42.0000518065943,0,208.039962768555,686,"2024_banda_25"
2020,17,40.8790486776446,32.0219535827637,30.5990728767138,0,165.758972167969,686,"2020_banda_17"
2017,42,40.8953408200956,34.9670886993408,22.3841507812581,5.50878667831421,138.390533447266,686,"2017_banda_42"
2019,26,40.9647747872522,30.8555297851562,30.7229097537183,4.07703018188477,141.855056762695,686,"2019_banda_26"
2014,36,40.9660945821434,22.5587034225464,45.7631984014578,0,211.117721557617,686,"2014_banda_36"
2011,32,40.9808177614351,14.6500978469849,55.8960170399148,0,260.734313964844,686,"2011_banda_32"
2025,5,41.0781858959629,17.7622308731079,53.2141892044072,0,245.852508544922,686,"2025_banda_05"
2012,22,41.1452717051214,22.9649486541748,38.0208848137688,0,160.659027099609,686,"2012_banda_22"
2018,16,41.205780570083,39.2045993804932,14.4379556069314,15.5757780075073,84.0569763183594,686,"2018_banda_16"
2015,18,41.2124990749637,38.4959964752197,25.4658037959758,4.024827003479,134.707809448242,686,"2015_banda_18"
2016,33,41.3945805922194,11.4209151268005,64.8980186938543,0,280.745422363281,686,"2016_banda_33"
2020,35,41.4334736704479,40.0928478240967,12.4884723690647,14.8081245422363,85.7584075927734,686,"2020_banda_35"
