"celda","x","y","sesgo_medio","n"
581,-76.2749984543771,4.22499931789935,-0.180599506084736,52
582,-76.224998453632,4.22499931789935,0.138649647052471,52
583,-76.1749984528869,4.22499931789935,NA,0
584,-76.1249984521419,4.22499931789935,NA,0
585,-76.0749984513968,4.22499931789935,NA,0
586,-76.0249984506518,4.22499931789935,NA,0
587,-75.9749984499067,4.22499931789935,NA,0
588,-75.9249984491616,4.22499931789935,NA,0
589,-75.8749984484166,4.22499931789935,NA,0
590,-75.8249984476715,4.22499931789935,NA,0
596,-77.3749984707683,4.17499931715429,NA,0
597,-77.3249984700232,4.17499931715429,NA,0
598,-77.2749984692782,4.17499931715429,NA,0
600,-77.1749984677881,4.17499931715429,NA,0
615,-76.4249984566122,4.17499931715429,NA,0
616,-76.3749984558672,4.17499931715429,NA,0
617,-76.3249984551221,4.17499931715429,NA,0
618,-76.2749984543771,4.17499931715429,-0.190137899838961,52
619,-76.224998453632,4.17499931715429,0.121001243591309,52
620,-76.1749984528869,4.17499931715429,NA,0
621,-76.1249984521419,4.17499931715429,NA,0
622,-76.0749984513968,4.17499931715429,NA,0
623,-76.0249984506518,4.17499931715429,NA,0
624,-75.9749984499067,4.17499931715429,NA,0
625,-75.9249984491616,4.17499931715429,NA,0
626,-75.8749984484166,4.17499931715429,NA,0
632,-77.4249984715133,4.12499931640923,NA,0
633,-77.3749984707683,4.12499931640923,NA,0
634,-77.3249984700232,4.12499931640923,NA,0
635,-77.2749984692782,4.12499931640923,NA,0
636,-77.2249984685331,4.12499931640923,NA,0
637,-77.1749984677881,4.12499931640923,NA,0
638,-77.124998467043,4.12499931640923,NA,0
652,-76.4249984566122,4.12499931640923,NA,0
653,-76.3749984558672,4.12499931640923,NA,0
654,-76.3249984551221,4.12499931640923,NA,0
655,-76.2749984543771,4.12499931640923,-0.199676476992094,52
656,-76.224998453632,4.12499931640923,0.103352766770583,52
657,-76.1749984528869,4.12499931640923,NA,0
658,-76.1249984521419,4.12499931640923,NA,0
659,-76.0749984513968,4.12499931640923,NA,0
660,-76.0249984506518,4.12499931640923,NA,0
661,-75.9749984499067,4.12499931640923,NA,0
662,-75.9249984491616,4.12499931640923,NA,0
663,-75.8749984484166,4.12499931640923,NA,0
669,-77.4249984715133,4.07499931566417,NA,0
670,-77.3749984707683,4.07499931566417,NA,0
671,-77.3249984700232,4.07499931566417,NA,0
672,-77.2749984692782,4.07499931566417,NA,0
673,-77.2249984685331,4.07499931566417,NA,0
674,-77.1749984677881,4.07499931566417,NA,0
675,-77.124998467043,4.07499931566417,NA,0
676,-77.074998466298,4.07499931566417,NA,0
677,-77.0249984655529,4.07499931566417,NA,0
678,-76.9749984648078,4.07499931566417,NA,0
679,-76.9249984640628,4.07499931566417,-0.213173572833721,52
688,-76.4749984573573,4.07499931566417,NA,0
689,-76.4249984566122,4.07499931566417,NA,0
690,-76.3749984558672,4.07499931566417,NA,0
691,-76.3249984551221,4.07499931566417,NA,0
692,-76.2749984543771,4.07499931566417,-0.209214870746319,52
693,-76.224998453632,4.07499931566417,0.0857045100285457,52
694,-76.1749984528869,4.07499931566417,NA,0
695,-76.1249984521419,4.07499931566417,NA,0
696,-76.0749984513968,4.07499931566417,NA,0
697,-76.0249984506518,4.07499931566417,NA,0
698,-75.9749984499067,4.07499931566417,NA,0
699,-75.9249984491616,4.07499931566417,NA,0
700,-75.8749984484166,4.07499931566417,NA,0
701,-75.8249984476715,4.07499931566417,NA,0
706,-77.4249984715133,4.02499931491912,NA,0
707,-77.3749984707683,4.02499931491912,NA,0
708,-77.3249984700232,4.02499931491912,NA,0
711,-77.1749984677881,4.02499931491912,NA,0
712,-77.124998467043,4.02499931491912,NA,0
713,-77.074998466298,4.02499931491912,NA,0
714,-77.0249984655529,4.02499931491912,NA,0
715,-76.9749984648078,4.02499931491912,NA,0
716,-76.9249984640628,4.02499931491912,-0.217016696929932,52
717,-76.8749984633177,4.02499931491912,-0.010460560138409,52
724,-76.5249984581023,4.02499931491912,NA,0
725,-76.4749984573573,4.02499931491912,NA,0
726,-76.4249984566122,4.02499931491912,NA,0
727,-76.3749984558672,4.02499931491912,NA,0
728,-76.3249984551221,4.02499931491912,NA,0
729,-76.2749984543771,4.02499931491912,-0.218753301180326,52
730,-76.224998453632,4.02499931491912,0.0680563266460712,52
731,-76.1749984528869,4.02499931491912,NA,0
732,-76.1249984521419,4.02499931491912,NA,0
733,-76.0749984513968,4.02499931491912,NA,0
734,-76.0249984506518,4.02499931491912,NA,0
735,-75.9749984499067,4.02499931491912,NA,0
736,-75.9249984491616,4.02499931491912,NA,0
737,-75.8749984484166,4.02499931491912,NA,0
738,-75.8249984476715,4.02499931491912,NA,0
739,-75.7749984469265,4.02499931491912,NA,0
744,-77.3749984707683,3.97499931417406,NA,0
745,-77.3249984700232,3.97499931417406,NA,0
746,-77.2749984692782,3.97499931417406,NA,0
747,-77.2249984685331,3.97499931417406,NA,0
748,-77.1749984677881,3.97499931417406,NA,0
749,-77.124998467043,3.97499931417406,NA,0
750,-77.074998466298,3.97499931417406,NA,0
751,-77.0249984655529,3.97499931417406,NA,0
752,-76.9749984648078,3.97499931417406,NA,0
753,-76.9249984640628,3.97499931417406,-0.221976243532621,52
754,-76.8749984633177,3.97499931417406,-0.0105213752159706,52
755,-76.8249984625727,3.97499931417406,0.418934015127329,52
756,-76.7749984618276,3.97499931417406,NA,0
757,-76.7249984610826,3.97499931417406,NA,0
758,-76.6749984603375,3.97499931417406,NA,0
759,-76.6249984595924,3.97499931417406,NA,0
760,-76.5749984588474,3.97499931417406,NA,0
761,-76.5249984581023,3.97499931417406,NA,0
762,-76.4749984573573,3.97499931417406,NA,0
763,-76.4249984566122,3.97499931417406,NA,0
764,-76.3749984558672,3.97499931417406,NA,0
765,-76.3249984551221,3.97499931417406,NA,0
766,-76.2749984543771,3.97499931417406,-0.22508690907405,52
767,-76.224998453632,3.97499931417406,0.0504254561204177,52
768,-76.1749984528869,3.97499931417406,NA,0
