"anio","semana","variable","criterio","validos","NA_interno_original","NA_control_calidad","Dato_fuera_Valle"
2010,4,"temperatura","interseccion",132,657,0,0
2010,5,"temperatura","interseccion",132,657,0,0
2010,6,"temperatura","interseccion",132,657,0,0
2010,7,"temperatura","interseccion",132,657,0,0
2010,8,"temperatura","interseccion",132,657,0,0
2010,9,"temperatura","interseccion",132,657,0,0
2010,10,"temperatura","interseccion",132,657,0,0
2010,11,"temperatura","interseccion",132,657,0,0
2010,12,"temperatura","interseccion",132,657,0,0
2010,13,"temperatura","interseccion",132,657,0,0
2010,14,"temperatura","interseccion",132,657,0,0
2010,15,"temperatura","interseccion",132,657,0,0
2010,16,"temperatura","interseccion",132,657,0,0
2010,17,"temperatura","interseccion",132,657,0,0
2010,18,"temperatura","interseccion",132,657,0,0
2010,19,"temperatura","interseccion",132,657,0,0
2010,20,"temperatura","interseccion",132,657,0,0
2010,21,"temperatura","interseccion",132,657,0,0
2010,22,"temperatura","interseccion",132,657,0,0
2010,23,"temperatura","interseccion",132,657,0,0
2010,24,"temperatura","interseccion",132,657,0,0
2010,25,"temperatura","interseccion",132,657,0,0
2010,26,"temperatura","interseccion",132,657,0,0
2010,27,"temperatura","interseccion",132,657,0,0
2010,28,"temperatura","interseccion",132,657,0,0
2010,29,"temperatura","interseccion",132,657,0,0
2010,30,"temperatura","interseccion",132,657,0,0
2010,31,"temperatura","interseccion",132,657,0,0
2010,32,"temperatura","interseccion",132,657,0,0
2010,33,"temperatura","interseccion",132,657,0,0
2010,34,"temperatura","interseccion",132,657,0,0
2010,35,"temperatura","interseccion",132,657,0,0
2010,36,"temperatura","interseccion",132,657,0,0
2010,37,"temperatura","interseccion",132,657,0,0
2010,38,"temperatura","interseccion",132,657,0,0
2010,39,"temperatura","interseccion",132,657,0,0
2010,40,"temperatura","interseccion",132,657,0,0
2010,41,"temperatura","interseccion",132,657,0,0
2010,42,"temperatura","interseccion",132,657,0,0
2010,43,"temperatura","interseccion",132,657,0,0
2010,44,"temperatura","interseccion",132,657,0,0
2010,45,"temperatura","interseccion",132,657,0,0
2010,46,"temperatura","interseccion",132,657,0,0
2010,47,"temperatura","interseccion",132,657,0,0
2010,48,"temperatura","interseccion",132,657,0,0
2010,49,"temperatura","interseccion",132,657,0,0
2010,50,"temperatura","interseccion",132,657,0,0
2010,51,"temperatura","interseccion",132,657,0,0
2010,52,"temperatura","interseccion",132,657,0,0
2010,1,"radiacion","centro",27,659,0,4
2010,2,"radiacion","centro",27,659,0,4
2010,3,"radiacion","centro",27,659,0,4
2010,4,"radiacion","centro",27,659,0,4
2010,5,"radiacion","centro",27,659,0,4
2010,6,"radiacion","centro",27,659,0,4
2010,7,"radiacion","centro",27,659,0,4
2010,8,"radiacion","centro",27,659,0,4
2010,9,"radiacion","centro",27,659,0,4
2010,10,"radiacion","centro",27,659,0,4
2010,11,"radiacion","centro",27,659,0,4
2010,12,"radiacion","centro",27,659,0,4
2010,13,"radiacion","centro",27,659,0,4
2010,14,"radiacion","centro",27,659,0,4
2010,15,"radiacion","centro",27,659,0,4
2010,16,"radiacion","centro",27,659,0,4
2010,17,"radiacion","centro",27,659,0,4
2010,18,"radiacion","centro",27,659,0,4
2010,19,"radiacion","centro",27,659,0,4
2010,20,"radiacion","centro",27,659,0,4
2010,21,"radiacion","centro",27,659,0,4
2010,22,"radiacion","centro",27,659,0,4
2010,23,"radiacion","centro",27,659,0,4
2010,24,"radiacion","centro",27,659,0,4
2010,25,"radiacion","centro",27,659,0,4
2010,26,"radiacion","centro",27,659,0,4
2010,27,"radiacion","centro",27,659,0,4
2010,28,"radiacion","centro",27,659,0,4
2010,29,"radiacion","centro",27,659,0,4
2010,30,"radiacion","centro",27,659,0,4
2010,31,"radiacion","centro",27,659,0,4
2010,32,"radiacion","centro",27,659,0,4
2010,33,"radiacion","centro",27,659,0,4
2010,34,"radiacion","centro",27,659,0,4
2010,35,"radiacion","centro",27,659,0,4
2010,36,"radiacion","centro",27,659,0,4
2010,37,"radiacion","centro",27,659,0,4
2010,38,"radiacion","centro",27,659,0,4
2010,39,"radiacion","centro",27,659,0,4
2010,40,"radiacion","centro",27,659,0,4
2010,41,"radiacion","centro",27,659,0,4
2010,42,"radiacion","centro",27,659,0,4
2010,43,"radiacion","centro",27,659,0,4
2010,44,"radiacion","centro",27,659,0,4
2010,45,"radiacion","centro",27,659,0,4
2010,46,"radiacion","centro",27,659,0,4
2010,47,"radiacion","centro",27,659,0,4
2010,48,"radiacion","centro",27,659,0,4
2010,49,"radiacion","centro",27,659,0,4
2010,50,"radiacion","centro",27,659,0,4
2010,51,"radiacion","centro",27,659,0,4
2010,52,"radiacion","centro",27,659,0,4
2010,1,"radiacion","interseccion",31,758,0,0
2010,2,"radiacion","interseccion",31,758,0,0
2010,3,"radiacion","interseccion",31,758,0,0
2010,4,"radiacion","interseccion",31,758,0,0
2010,5,"radiacion","interseccion",31,758,0,0
2010,6,"radiacion","interseccion",31,758,0,0
2010,7,"radiacion","interseccion",31,758,0,0
2010,8,"radiacion","interseccion",31,758,0,0
2010,9,"radiacion","interseccion",31,758,0,0
2010,10,"radiacion","interseccion",31,758,0,0
2010,11,"radiacion","interseccion",31,758,0,0
2010,12,"radiacion","interseccion",31,758,0,0
2010,13,"radiacion","interseccion",31,758,0,0
2010,14,"radiacion","interseccion",31,758,0,0
2010,15,"radiacion","interseccion",31,758,0,0
2010,16,"radiacion","interseccion",31,758,0,0
2010,17,"radiacion","interseccion",31,758,0,0
2010,18,"radiacion","interseccion",31,758,0,0
2010,19,"radiacion","interseccion",31,758,0,0
2010,20,"radiacion","interseccion",31,758,0,0
2010,21,"radiacion","interseccion",31,758,0,0
2010,22,"radiacion","interseccion",31,758,0,0
2010,23,"radiacion","interseccion",31,758,0,0
2010,24,"radiacion","interseccion",31,758,0,0
2010,25,"radiacion","interseccion",31,758,0,0
2010,26,"radiacion","interseccion",31,758,0,0
2010,27,"radiacion","interseccion",31,758,0,0
2010,28,"radiacion","interseccion",31,758,0,0
2010,29,"radiacion","interseccion",31,758,0,0
2010,30,"radiacion","interseccion",31,758,0,0
2010,31,"radiacion","interseccion",31,758,0,0
2010,32,"radiacion","interseccion",31,758,0,0
2010,33,"radiacion","interseccion",31,758,0,0
2010,34,"radiacion","interseccion",31,758,0,0
2010,35,"radiacion","interseccion",31,758,0,0
2010,36,"radiacion","interseccion",31,758,0,0
2010,37,"radiacion","interseccion",31,758,0,0
2010,38,"radiacion","interseccion",31,758,0,0
2010,39,"radiacion","interseccion",31,758,0,0
2010,40,"radiacion","interseccion",31,758,0,0
2010,41,"radiacion","interseccion",31,758,0,0
2010,42,"radiacion","interseccion",31,758,0,0
2010,43,"radiacion","interseccion",31,758,0,0
2010,44,"radiacion","interseccion",31,758,0,0
2010,45,"radiacion","interseccion",31,758,0,0
2010,46,"radiacion","interseccion",31,758,0,0
2010,47,"radiacion","interseccion",31,758,0,0
2010,48,"radiacion","interseccion",31,758,0,0
