"anio","variable","metodo","periodo","n","ME","MAE","RMSE","correlacion","max_abs","pct_exacta"
2014,"temperatura","bilinear","S01_S52",6344,0.00458402982425569,0.262180874958014,0.327746973040319,0.992685366477091,1.0638370513916,0.0157629255989912
2014,"temperatura","bilinear","S02_S52",6222,-0.00566957771720629,0.256978185948587,0.320428554403238,0.993036235770795,1.02702903747559,0.0160720025715204
2014,"radiacion","bilinear","S01_S52",1404,0.0270887813676796,0.614103600510165,0.78534382150102,0.768158898255028,3.04222679138184,0
2014,"radiacion","bilinear","S02_S52",1377,-0.00559907593238847,0.592925837703087,0.755991409636928,0.785702034472303,3.04222679138184,0
2015,"temperatura","near","S01_S52",6344,-0.0240071544430746,0.523369156848287,0.658662987064734,0.971023289998277,2.29599571228027,0.0157629255989912
2015,"temperatura","near","S02_S52",6222,-0.0289786419122022,0.523901502712867,0.658896326567261,0.970852299330243,2.29599571228027,0.0160720025715204
2015,"radiacion","near","S01_S52",1404,0.00106876528161204,0.79944573304592,1.00409214503742,0.71734077800693,3.68714237213135,0
2015,"radiacion","near","S02_S52",1377,0.00540994230005822,0.810378154984573,1.0132645094042,0.690505064841014,3.68714237213135,0
2015,"temperatura","bilinear","S01_S52",6344,0.000502149514562695,0.396526588317275,0.489190446215388,0.983427753195448,1.45502662658691,0
2015,"temperatura","bilinear","S02_S52",6222,-0.00494298426064982,0.398471818327406,0.491003990410918,0.983230243055701,1.45502662658691,0
2015,"radiacion","bilinear","S01_S52",1404,0.0244967577464221,0.812026690893363,1.00383965349467,0.707513457023986,3.14142322540283,0
2015,"radiacion","bilinear","S02_S52",1377,0.0313982343708335,0.820736324778483,1.01193706763576,0.67820586967327,3.14142322540283,0
2016,"temperatura","near","S01_S52",6344,-0.0210036125038792,0.488583481477158,0.621855518626831,0.97163736259334,2.59457588195801,0.0315258511979823
2016,"temperatura","near","S02_S52",6222,-0.00754166109237744,0.483493196125086,0.615915616494002,0.972022831339797,2.59457588195801,0.0321440051430408
2016,"radiacion","near","S01_S52",1404,0.0020719749635441,0.695935858620538,0.912307088134102,0.725601389714386,3.59857082366943,0
2016,"radiacion","near","S02_S52",1377,0.0200221346354433,0.69167212705813,0.912179424285139,0.725447679620011,3.59857082366943,0
2016,"temperatura","bilinear","S01_S52",6344,-0.00162036797738767,0.346090012660995,0.442436309456984,0.984992790459619,1.62561225891113,0.0472887767969735
2016,"temperatura","bilinear","S02_S52",6222,0.0117285640168443,0.339495387425265,0.434755952396981,0.98551894947998,1.62561225891113,0.0482160077145612
2016,"radiacion","bilinear","S01_S52",1404,0.0128894232616805,0.704134021389518,0.91485391823237,0.708945052084605,4.2893123626709,0
2016,"radiacion","bilinear","S02_S52",1377,0.0319202488197654,0.699162479059888,0.913841878390357,0.708905776233277,4.2893123626709,0
2017,"temperatura","near","S01_S52",6344,-0.0147472456153975,0.425267298314791,0.531962038814537,0.980618236548747,1.63350486755371,0
2017,"temperatura","near","S02_S52",6222,-0.0131829299178778,0.425494223919301,0.532088097884681,0.980643008405711,1.63350486755371,0
2017,"radiacion","near","S01_S52",1404,0.00130106920530314,0.442617584157873,0.554908233559252,0.917449686311598,2.12857151031494,0
2017,"radiacion","near","S02_S52",1377,0.0131805117959637,0.439442428888059,0.553805178089199,0.91807179046236,2.12857151031494,0
2017,"temperatura","bilinear","S01_S52",6344,-0.00299364516293116,0.230158124715654,0.28316396573766,0.994486231992655,0.827329635620117,0.0157629255989912
2017,"temperatura","bilinear","S02_S52",6222,-0.001587782056337,0.230162947479071,0.283461938956496,0.994475613202949,0.827329635620117,0.0160720025715204
2017,"radiacion","bilinear","S01_S52",1404,0.0084962185971078,0.44981795158821,0.570161517570272,0.909273898836321,1.89647388458252,0
2017,"radiacion","bilinear","S02_S52",1377,0.0212553518789786,0.446045370662914,0.568483482750892,0.909867361084144,1.89647388458252,0
2018,"temperatura","near","S01_S52",6344,-0.00930017195313154,0.40924867690737,0.518804360544129,0.981941430509755,1.57757568359375,0
2018,"temperatura","near","S02_S52",6222,-0.0137150916820245,0.408440780271789,0.518173864005848,0.981981822705849,1.57757568359375,0
