"anio","semana","precipitacion_mm","temperatura_vecino_c","temperatura_bilineal_c","radiacion_vecino_mj_m2_dia","radiacion_bilineal_mj_m2_dia","fecha"
2023,29,24.7314034099134,21.9054955880079,21.852138291295,17.0490603433059,16.9673103090625,2023-07-16
2024,29,40.3612508737311,21.3569950223317,21.296716267444,15.446449214446,15.5460646159447,2024-07-15
2025,29,13.5361804861369,21.0007619440729,20.9651863971187,13.8819511277335,14.0202010157505,2025-07-16
2010,30,11.8842165716883,20.3238293784005,20.291506029079,14.580091608509,14.6724537190473,2010-07-23
2011,30,17.2459199195701,20.2956349217162,20.2645614807529,13.749494138334,13.8124265934914,2011-07-23
2012,30,52.8445745703083,20.9685110364641,20.934140686391,14.9835340538803,15.0150437966728,2012-07-22
2013,30,38.3300223420035,20.762808944324,20.7097456573397,16.4865829840346,16.5465536034142,2013-07-23
2014,30,26.3418665424033,21.3746607533002,21.3453372338075,16.8178512667775,16.8385720308599,2014-07-23
2015,30,22.686771517071,21.4212804591343,21.3859454313451,16.7503537186381,16.6797448580884,2015-07-23
2016,30,23.4063153640522,20.634033934368,20.6141777094182,16.0769515301674,16.0532324112539,2016-07-22
2017,30,41.8273846748619,20.8003518713459,20.77712435347,15.0208742416982,15.0569232615368,2017-07-23
2018,30,58.0147053178823,20.453873546756,20.4345198178083,14.4209661817412,14.5077673228072,2018-07-23
2019,30,35.0413567658416,20.5799128487923,20.5593365232729,15.45366539691,15.4398312526959,2019-07-23
2020,30,39.5115385602063,20.1521970773925,20.1467431821907,14.7264119195521,14.668439699679,2020-07-22
2021,30,70.7576365554298,20.3454791602866,20.3258089963618,13.7383444107656,13.8500827644726,2021-07-23
2022,30,19.5374046810862,19.8984192800939,19.8941290107482,14.3516805999133,14.4230877637168,2022-07-23
2023,30,19.936585234136,21.6005309302327,21.5832537131129,16.3365267233668,16.3691833707404,2023-07-23
2024,30,14.0641842425391,21.4573159648795,21.4174134112656,13.7418389417687,13.8359402331249,2024-07-22
2025,30,27.5255549475333,20.8927132853961,20.8617918943177,15.7378136214988,15.7889212394247,2025-07-23
2010,31,60.7794296644172,20.2118927605298,20.2022038562652,15.3675424600829,15.4289725584469,2010-07-30
2011,31,97.2999968014375,20.3479944012255,20.3444314837108,16.514877639081,16.5765922437951,2011-07-30
2012,31,54.3216115326645,20.3376652436771,20.3358060277933,15.0881194748614,15.0706247338053,2012-07-29
2013,31,31.2366116288452,20.5002645208954,20.4788118632125,15.2256704224789,15.25305259193,2013-07-30
2014,31,27.6058595468977,20.9091461226127,20.8895443535407,15.2560707278571,15.3044722907397,2014-07-30
2015,31,21.4965111331759,21.7344523393726,21.6964877715264,16.5682756796523,16.5001423199045,2015-07-30
2016,31,43.7907626083224,20.8361993962057,20.8095841518992,13.9974969900037,14.0071459970391,2016-07-29
2017,31,8.66002315665125,20.7184570996476,20.714134559687,16.27498953405,16.2768569840634,2017-07-30
2018,31,57.6647707296877,20.2507557549212,20.2206634251786,16.3532071475037,16.3697057924187,2018-07-30
2019,31,35.4571794459146,21.0290918461435,21.0057493840988,15.4374406289081,15.415960726168,2019-07-30
2020,31,6.67105836597198,21.4140523932766,21.3626410286906,17.7486214373619,17.7225187499044,2020-07-29
2021,31,57.6983437941304,20.9998038433731,20.9252192925434,16.7058474454518,16.6618007278998,2021-07-30
2022,31,73.5778165989645,20.223473732395,20.2008558848856,14.4369303352979,14.5402160344249,2022-07-30
2023,31,32.1819012658589,21.5202542727612,21.4752089400333,16.5951432319841,16.5818659028924,2023-07-30
2024,31,60.2542303473887,21.3898958145008,21.3554186751474,15.9040465883194,15.8825599375689,2024-07-29
2025,31,28.1733629140492,21.0364826775153,21.0020675978925,14.8023739848123,14.9808309363207,2025-07-30
2010,32,20.0877578119495,20.2173179148237,20.1938944849954,14.2290026370012,14.3712738178909,2010-08-06
2011,32,40.9808177614351,20.7070451422266,20.674772345985,16.4277552974467,16.5043542670091,2011-08-06
2012,32,26.4607605730827,20.5874907463007,20.576868376996,15.6619557917292,15.796401749547,2012-08-05
2013,32,93.0356935134087,19.8506559380289,19.8693454439369,13.9261724080011,14.056683162211,2013-08-06
2014,32,21.5612357981699,20.3795187952915,20.3781113485553,16.111730742385,16.1338583359565,2014-08-06
2015,32,33.2152945640831,21.054439603066,21.0464194133747,14.1754458902876,14.2272429132601,2015-08-06
2016,32,22.1411642128108,21.3790528739507,21.3451112185553,15.3885423893831,15.438930045759,2016-08-05
2017,32,12.8125150488695,20.6901792298253,20.7055884269514,14.9521887517879,15.0413920997531,2017-08-06
2018,32,16.8648216971156,20.8746273232619,20.822348299944,17.6433089870753,17.6119473474019,2018-08-06
2019,32,20.6249148119295,21.452711263829,21.4198143739394,15.8474948093425,15.8039311445142,2019-08-06
2020,32,13.8475457468116,21.1372157255345,21.096350621204,12.9052123731496,13.0613275589123,2020-08-05
2021,32,35.8454996390871,20.5930654787114,20.5708387085717,14.9399918077986,15.0857521146101,2021-08-06
2022,32,49.8272872045853,20.453380387309,20.4299314946544,15.468631937622,15.5997119408655,2022-08-06
2023,32,40.4662983907555,21.8361496132942,21.8131913888559,15.8351289106875,15.8880109856497,2023-08-06
2024,32,50.5663623594334,20.9517137232744,20.944596429608,15.1798332926136,15.2763625261735,2024-08-05
2025,32,49.1274106349611,20.4269866943359,20.4093294171481,16.2045506304972,16.2937483620713,2025-08-06
2010,33,24.8854003675477,20.1395858286421,20.1290651410384,15.3801665611934,15.4578157708527,2010-08-13
2011,33,45.1588811606777,20.1485839084703,20.1478873953527,15.7821157513833,15.8451775489674,2011-08-13
2012,33,64.6261310341059,20.0969928972228,20.0854822067061,14.7671742383662,14.7023226290333,2012-08-12
2013,33,90.9447342244251,20.321971953089,20.2999481709984,14.8955557992785,14.9750745789998,2013-08-13
2014,33,25.0533228532218,21.2220033792991,21.1821659494072,16.4376676464915,16.327733962946,2014-08-13
2015,33,26.0866940487231,21.43849005296,21.4356996463965,15.5797710001642,15.5085301593858,2015-08-13
2016,33,41.3945805922194,21.2014205309809,21.1631011295597,15.0298669678824,15.1168169641634,2016-08-12
2017,33,76.3902639202752,20.5765205861528,20.6130092887767,16.9870653736348,17.1128590628288,2017-08-13
2018,33,32.1419415367936,20.5034405455297,20.4921315863251,15.9855140485847,16.0315890534626,2018-08-13
2019,33,16.8887836352729,20.9009475902635,20.8837081739576,15.1715745342021,15.0256037044803,2019-08-13
2020,33,43.340481171455,20.7886695472562,20.8035477368547,12.7919244098941,12.9430589008609,2020-08-12
2021,33,67.1673062521932,20.352607387843,20.340222240537,14.9806599742122,15.0699295733482,2021-08-13
2022,33,18.7047769946885,20.5915101026307,20.581706081813,16.1157182465489,16.280026712501,2022-08-13
2023,33,37.2717250026002,21.1424761096521,21.1543851885782,14.8522094860021,15.0615336915842,2023-08-13
2024,33,21.7727991766554,21.7012725307364,21.665168698258,17.3189256879401,17.2877815402284,2024-08-12
2025,33,28.9639895228186,20.541738532375,20.536374887294,14.8640502298539,14.9698986228631,2025-08-13
2010,34,64.8851567009795,20.4553288579335,20.4579801017272,13.8575198699017,13.9478367605293,2010-08-20
2011,34,36.2513102331245,20.1832755161096,20.172485660186,16.3429796813876,16.2960451698859,2011-08-20
2012,34,88.1075100933498,20.272796876924,20.2926511333566,16.8441545942434,16.8748323257046,2012-08-19
2013,34,52.1538926182266,20.2849355911722,20.2768597338707,15.4812348382466,15.4514749070993,2013-08-20
2014,34,25.491400213179,20.4588171733712,20.4691245952083,14.3973033379535,14.4995438322729,2014-08-20
2015,34,32.3392330175239,21.3397356678376,21.3423487910724,15.1095709133426,15.0526239851126,2015-08-20
2016,34,32.1559252881448,21.4913702928638,21.4464622475315,17.2331989916699,17.2722508427701,2016-08-19
2017,34,58.093013673065,20.5370036297567,20.5407585666757,16.8831235868938,16.9759985698555,2017-08-20
2018,34,21.560422384134,20.7191876697818,20.6819815635681,16.6328177799636,16.6845627262015,2018-08-20
2019,34,21.90294989483,21.4463245820026,21.4195681647031,18.6910033712582,18.5072813756959,2019-08-20
2020,34,45.5190675251686,20.0983715849785,20.1216997502497,14.4026363041936,14.606521313114,2020-08-19
2021,34,36.5187406011643,20.4299312374682,20.4588246943304,15.6486654462342,15.7292933283325,2021-08-20
2022,34,25.2648345727267,20.3199478433014,20.2959337067674,15.248698680811,15.3366764168698,2022-08-20
2023,34,46.5762798907805,21.1139527673972,21.1480793549785,16.3596662015331,16.3659631629032,2023-08-20
2024,34,18.6830236265333,21.4615180040587,21.4656699266795,14.6619678516777,14.8051463230011,2024-08-19
2025,34,36.5577515617404,21.109775117813,21.0888744471024,15.8744855093886,15.9256256481649,2025-08-20
2010,35,49.412036864125,20.1461180472861,20.1480349298816,14.5633214069177,14.702860290038,2010-08-27
2011,35,62.2271409622087,20.708698506258,20.6923428165669,17.5628297488821,17.6592001080861,2011-08-27
2012,35,42.3589055816217,20.9085295818985,20.8646968418933,15.2350127676138,15.2162224627792,2012-08-26
2013,35,27.5984321068049,20.294141888966,20.2780489796452,15.6975133495498,15.7905649137914,2013-08-27
2014,35,27.1383998088169,20.8013656730207,20.7832202772357,17.4488506456158,17.4411423950084,2014-08-27
2015,35,24.9073110236718,21.6946608596223,21.6537300337855,15.8035859074606,15.7949538745268,2015-08-27
2016,35,20.42398645996,20.500716680688,20.4966464251193,15.5019200550224,15.4954377221644,2016-08-26
2017,35,21.7971444859797,20.5537422502701,20.5589652144874,16.7491458275575,16.805330359901,2017-08-27
2018,35,23.795935574843,20.6107331351011,20.6062123824139,15.5994504005499,15.657599685491,2018-08-27
2019,35,25.3144666835796,21.2854018753541,21.2817167777014,15.0019508909554,15.0948921987684,2019-08-27
2020,35,41.4334736704479,20.2163495238946,20.2278208454566,15.5352854117013,15.644786253615,2020-08-26
2021,35,62.0240909837773,20.4362909995432,20.4477975917627,16.2269034997367,16.2902245952506,2021-08-27
2022,35,28.6771316439695,20.3269157965746,20.3413582946399,16.0762534753227,16.0920412547387,2022-08-27
2023,35,45.1274699553109,22.1221970566508,22.1057475426454,18.6196313363123,18.737416395293,2023-08-27
2024,35,30.0371389199624,21.6267592816589,21.5997524595122,18.1606685482726,18.1787336783228,2024-08-26
2025,35,44.0036752088424,20.9661701524918,20.9410934740183,15.3833650555625,15.5093282749632,2025-08-27
2010,36,109.450296054429,20.0351914789517,20.0389070218923,14.8905229012403,14.9729873195682,2010-09-03
2011,36,34.2347843452376,20.2294897532672,20.2329373234563,15.2729361675919,15.4021407091235,2011-09-03
2012,36,66.511124086102,20.7622614768782,20.743575618844,15.8056888330087,15.7738152704155,2012-09-02
2013,36,58.5800633771079,20.0720574098148,20.0817320631822,16.5019052661195,16.4027557720596,2013-09-03
2014,36,40.9660945821434,21.0399767845087,21.0308684802264,15.9238712669462,15.9959942453457,2014-09-03
2015,36,17.2069366551697,21.6991045092702,21.7024505520701,15.6130926324049,15.7005213843143,2015-09-03
2016,36,78.4461206291577,20.8954601677097,20.8897524213652,16.613956714163,16.6510304723467,2016-09-02
2017,36,14.2465729716915,20.534743962413,20.5647949769268,17.0672902171188,17.156707118621,2017-09-03
2018,36,35.1478177361169,20.5570742089964,20.5495512436847,15.8877654826328,15.8919828626227,2018-09-03
2019,36,27.3842540254746,21.3930550261072,21.389791243973,16.8491358214843,16.8377030987086,2019-09-03
2020,36,32.7694877160186,20.520853607022,20.5477560921939,15.6415972765264,15.7948857410309,2020-09-02
2021,36,52.2935925704745,20.5163727223699,20.5252307649952,16.8246441415726,16.8359274850295,2021-09-03
2022,36,24.1321286307132,20.7404271506707,20.7338123279827,15.8695376857724,15.8952294925211,2022-09-03
2023,36,43.0396664455403,21.6149455034351,21.6180594391447,16.1921428591447,16.2873286380712,2023-09-03
2024,36,38.486611664469,21.8264599986396,21.8223115181436,15.4601689149617,15.5438610096367,2024-09-02
2025,36,34.1200131640142,20.5347107923413,20.5304206995505,15.0814120345491,15.0756130468741,2025-09-03
2010,37,57.8377819478338,20.2675575681748,20.2741751114759,15.5481364567148,15.6407121374725,2010-09-10
