"celda","x","y","dentro_valle","precipitacion","temperatura","radiacion","altitud","disponible_precipitacion","disponible_temperatura","disponible_radiacion","disponible_altitud","caso_completo_4_variables","anio","semana"
322,-76.2749984543771,4.57499932311475,TRUE,5.93759489059448,23.1561431884766,NA,1385.66784667969,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
323,-76.224998453632,4.57499932311475,TRUE,0,23.1561431884766,NA,1667.8642578125,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
324,-76.1749984528869,4.57499932311475,TRUE,0,NA,NA,1807.22802734375,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
325,-76.1249984521419,4.57499932311475,TRUE,0,NA,NA,1418.26391601562,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
326,-76.0749984513968,4.57499932311475,TRUE,6.31010007858276,NA,NA,1005.66693115234,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
327,-76.0249984506518,4.57499932311475,TRUE,5.68930196762085,NA,NA,909.886657714844,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
328,-75.9749984499067,4.57499932311475,TRUE,5.63601064682007,NA,NA,947.509887695312,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
329,-75.9249984491616,4.57499932311475,TRUE,5.07920169830322,NA,NA,1171.45202636719,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
330,-75.8749984484166,4.57499932311475,TRUE,5.09722089767456,NA,NA,1274.43444824219,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
358,-76.3249984551221,4.52499932236969,TRUE,6.56152486801147,NA,NA,1303.96630859375,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
359,-76.2749984543771,4.52499932236969,TRUE,0,23.1415710449219,NA,1527.30285644531,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
360,-76.224998453632,4.52499932236969,TRUE,0,23.1415710449219,NA,1644.48071289062,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
361,-76.1749984528869,4.52499932236969,TRUE,0,NA,NA,1640.04479980469,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
362,-76.1249984521419,4.52499932236969,TRUE,5.56834888458252,NA,NA,1249.92761230469,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
363,-76.0749984513968,4.52499932236969,TRUE,5.54337644577026,NA,NA,936.696350097656,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
364,-76.0249984506518,4.52499932236969,TRUE,5.06701040267944,NA,NA,926.529602050781,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
365,-75.9749984499067,4.52499932236969,TRUE,0,NA,NA,963.172424316406,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
366,-75.9249984491616,4.52499932236969,TRUE,5.07881641387939,NA,NA,1154.38159179688,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
367,-75.8749984484166,4.52499932236969,TRUE,0,NA,NA,1190.78796386719,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
394,-76.3749984558672,4.47499932162464,TRUE,12.0568180084229,NA,NA,1291.14721679688,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
395,-76.3249984551221,4.47499932162464,TRUE,5.34333562850952,NA,NA,1532.55541992188,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
396,-76.2749984543771,4.47499932162464,TRUE,4.35374307632446,22.9982814788818,NA,1767.09973144531,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
397,-76.224998453632,4.47499932162464,TRUE,5.00078535079956,22.9982814788818,NA,1668.86059570312,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
398,-76.1749984528869,4.47499932162464,TRUE,0,NA,NA,1518.87634277344,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
399,-76.1249984521419,4.47499932162464,TRUE,5.71492338180542,NA,NA,1135.04162597656,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
400,-76.0749984513968,4.47499932162464,TRUE,5.20137357711792,NA,NA,919.498229980469,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
401,-76.0249984506518,4.47499932162464,TRUE,4.52815341949463,NA,NA,941.884094238281,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
402,-75.9749984499067,4.47499932162464,TRUE,0,NA,NA,992.092590332031,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
403,-75.9249984491616,4.47499932162464,TRUE,0,NA,NA,1138.18579101562,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
404,-75.8749984484166,4.47499932162464,TRUE,0,NA,NA,1135.48974609375,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
430,-76.4249984566122,4.42499932087958,TRUE,12.4659328460693,NA,NA,1064.16577148438,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
431,-76.3749984558672,4.42499932087958,TRUE,0,NA,NA,1646.22204589844,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
432,-76.3249984551221,4.42499932087958,TRUE,0,NA,NA,1796.77758789062,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
433,-76.2749984543771,4.42499932087958,TRUE,3.72103548049927,22.726282119751,NA,1971.39819335938,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
434,-76.224998453632,4.42499932087958,TRUE,4.40149927139282,22.726282119751,NA,1863.85180664062,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
435,-76.1749984528869,4.42499932087958,TRUE,5.04304265975952,NA,NA,1293.01037597656,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
436,-76.1249984521419,4.42499932087958,TRUE,0,NA,NA,942.146179199219,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
437,-76.0749984513968,4.42499932087958,TRUE,4.85166120529175,NA,NA,921.598876953125,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
438,-76.0249984506518,4.42499932087958,TRUE,4.39932155609131,NA,NA,982.905700683594,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
439,-75.9749984499067,4.42499932087958,TRUE,5.3104419708252,NA,NA,1045.41467285156,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
440,-75.9249984491616,4.42499932087958,TRUE,0,NA,NA,1145.52404785156,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
465,-76.5249984581023,4.37499932013452,TRUE,12.5218172073364,NA,13.8928575515747,658.717590332031,TRUE,FALSE,TRUE,TRUE,FALSE,2024,10
466,-76.4749984573573,4.37499932013452,TRUE,10.8644580841064,NA,13.8928575515747,938.381652832031,TRUE,FALSE,TRUE,TRUE,FALSE,2024,10
467,-76.4249984566122,4.37499932013452,TRUE,6.36141443252563,NA,NA,1373.88610839844,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
468,-76.3749984558672,4.37499932013452,TRUE,0,NA,NA,1649.54296875,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
469,-76.3249984551221,4.37499932013452,TRUE,0,NA,NA,1647.77099609375,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
470,-76.2749984543771,4.37499932013452,TRUE,0,22.4542827606201,NA,1777.04626464844,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
471,-76.224998453632,4.37499932013452,TRUE,4.00243997573853,22.4542827606201,NA,1564.67199707031,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
472,-76.1749984528869,4.37499932013452,TRUE,4.31840515136719,NA,NA,1157.849609375,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
473,-76.1249984521419,4.37499932013452,TRUE,4.36300373077393,NA,NA,930.004577636719,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
474,-76.0749984513968,4.37499932013452,TRUE,4.20235538482666,NA,NA,931.21435546875,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
475,-76.0249984506518,4.37499932013452,TRUE,4.10468864440918,NA,NA,977.905578613281,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
476,-75.9749984499067,4.37499932013452,TRUE,4.44253540039062,NA,NA,1041.40734863281,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
477,-75.9249984491616,4.37499932013452,TRUE,0,NA,NA,1204.27709960938,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
478,-75.8749984484166,4.37499932013452,TRUE,0,NA,NA,1128.56555175781,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
479,-75.8249984476715,4.37499932013452,TRUE,0,NA,NA,1112.04675292969,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
502,-76.5249984581023,4.32499931938946,TRUE,8.36101245880127,NA,13.8928575515747,989.56787109375,TRUE,FALSE,TRUE,TRUE,FALSE,2024,10
503,-76.4749984573573,4.32499931938946,TRUE,5.12935352325439,NA,13.8928575515747,1158.12756347656,TRUE,FALSE,TRUE,TRUE,FALSE,2024,10
504,-76.4249984566122,4.32499931938946,TRUE,6.37989807128906,NA,NA,1558.78186035156,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
505,-76.3749984558672,4.32499931938946,TRUE,4.87442827224731,NA,NA,1610.77099609375,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
506,-76.3249984551221,4.32499931938946,TRUE,4.34174203872681,NA,NA,1734.82946777344,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
507,-76.2749984543771,4.32499931938946,TRUE,3.45272874832153,22.1822814941406,NA,1652.77587890625,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
508,-76.224998453632,4.32499931938946,TRUE,0,22.1822814941406,NA,1328.78076171875,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
509,-76.1749984528869,4.32499931938946,TRUE,0,NA,NA,977.605102539062,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
510,-76.1249984521419,4.32499931938946,TRUE,3.56725239753723,NA,NA,918.968994140625,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
511,-76.0749984513968,4.32499931938946,TRUE,3.54977250099182,NA,NA,949.865661621094,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
512,-76.0249984506518,4.32499931938946,TRUE,0,NA,NA,1018.87927246094,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
513,-75.9749984499067,4.32499931938946,TRUE,4.48515510559082,NA,NA,1092.11450195312,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
514,-75.9249984491616,4.32499931938946,TRUE,0,NA,NA,1363.33264160156,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
515,-75.8749984484166,4.32499931938946,TRUE,4.80997610092163,NA,NA,1293.12609863281,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
516,-75.8249984476715,4.32499931938946,TRUE,0,NA,NA,1276.90734863281,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
539,-76.5249984581023,4.2749993186444,TRUE,0,NA,13.8928575515747,1492.77465820312,TRUE,FALSE,TRUE,TRUE,FALSE,2024,10
540,-76.4749984573573,4.2749993186444,TRUE,0,NA,13.8928575515747,1988.19787597656,TRUE,FALSE,TRUE,TRUE,FALSE,2024,10
541,-76.4249984566122,4.2749993186444,TRUE,5.0066933631897,NA,NA,2301.95874023438,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
542,-76.3749984558672,4.2749993186444,TRUE,5.9819507598877,NA,NA,1886.16650390625,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
543,-76.3249984551221,4.2749993186444,TRUE,3.96408200263977,NA,NA,1862.18957519531,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
544,-76.2749984543771,4.2749993186444,TRUE,3.32734131813049,21.9102821350098,NA,1524.77221679688,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
545,-76.224998453632,4.2749993186444,TRUE,0,21.9102821350098,NA,1082.65197753906,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
546,-76.1749984528869,4.2749993186444,TRUE,0,NA,NA,924.531494140625,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
547,-76.1249984521419,4.2749993186444,TRUE,0,NA,NA,934.678955078125,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
548,-76.0749984513968,4.2749993186444,TRUE,0,NA,NA,1007.36413574219,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
549,-76.0249984506518,4.2749993186444,TRUE,4.60507345199585,NA,NA,1024.43237304688,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
550,-75.9749984499067,4.2749993186444,TRUE,5.09193658828735,NA,NA,1139.69897460938,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
551,-75.9249984491616,4.2749993186444,TRUE,5.02728748321533,NA,NA,1527.74743652344,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
