"dx","dy","ME","MAE","RMSE"
-0.1,0.05,0.736471408818244,0.828904151916504,0.944117902770735
-0.0875,0.05,0.663480376706787,0.740030812895286,0.852089952690433
-0.075,0.05,0.590489320224675,0.651810387789494,0.761644742971104
-0.0625,0.05,0.517498250560951,0.564501168604489,0.673420312188035
-0.05,0.05,0.444507188560954,0.478464776011228,0.588416456894363
-0.0375,0.05,0.380054882506932,0.403657882553096,0.508793432010068
-0.025,0.05,0.31560360385229,0.334681608101364,0.433309319394084
-0.0125,0.05,0.235755589030556,0.270839100135403,0.357512270621588
0,0.05,0.155905665940543,0.222969919644303,0.293489454147916
0.0125,0.05,0.0844938266855925,0.20289356353696,0.251639712491912
0.025,0.05,0.0130829970501734,0.196297451983078,0.235965630197641
0.0375,0.05,-0.0737956463045263,0.200333783803589,0.240405062587271
0.05,0.05,-0.160676204978136,0.222712353240712,0.277135442698111
0.0625,0.05,-0.23989561170445,0.269577576163037,0.336573531453077
0.075,0.05,-0.319114075025842,0.326142452415336,0.404764921067928
0.0875,0.05,-0.398332530836782,0.402659854257425,0.477977501048684
0.1,0.05,-0.477550984195328,0.481777891320302,0.554224952743642
-0.1,0.0625,0.769979912381738,0.85643441881715,0.972594939191726
-0.0875,0.0625,0.69770536251062,0.76852388038623,0.880904913719554
-0.075,0.0625,0.625430780145295,0.681401700461574,0.79080322951964
-0.0625,0.0625,0.55315621019521,0.595312125274354,0.702901001051419
-0.05,0.0625,0.480881655266031,0.510742269195341,0.618137285138915
-0.0375,0.0625,0.417126390413623,0.437821810975867,0.538996828236163
-0.025,0.0625,0.353372174419034,0.367625338592088,0.463860446828708
-0.0125,0.0625,0.273701150943826,0.295606045736756,0.386316011791176
0,0.0625,0.194028180268599,0.243923948110778,0.318792917782157
0.0125,0.0625,0.122762364921214,0.21905051500841,0.271059862531365
0.025,0.0625,0.0514975778928565,0.204751437593986,0.246058857683561
0.0375,0.0625,-0.0357533710556987,0.196124699291253,0.235912939570244
0.05,0.0625,-0.123006320390545,0.212596865108028,0.260356237009287
0.0625,0.0625,-0.202625899405312,0.253053530279519,0.313047285173041
0.075,0.0625,-0.282244551875361,0.302226896877651,0.377380970511006
0.0875,0.0625,-0.361863201433192,0.368589535360358,0.448373105345119
0.1,0.0625,-0.441481848078807,0.446925046473828,0.523320860488277
-0.1,0.075,0.803488429280118,0.884530330309719,1.0015581566978
-0.0875,0.075,0.731930337431959,0.797589942597377,0.910304874543368
-0.075,0.075,0.660372285281911,0.711562010453315,0.820670046110041
-0.0625,0.075,0.588814198491812,0.626671146250584,0.733247407356272
-0.05,0.075,0.517256129175013,0.543720158301378,0.648931643731372
-0.0375,0.075,0.454197928208854,0.472419947069659,0.570507385776818
-0.025,0.075,0.391140784070791,0.403093005560173,0.496037363274371
-0.0125,0.075,0.311646763437701,0.323407533658505,0.417347519387027
0,0.075,0.232150716055095,0.268479062138321,0.347385598400908
0.0125,0.075,0.16103094530734,0.236992620187954,0.295330893195615
0.025,0.075,0.08991220042622,0.219890041314532,0.262776357017443
0.0375,0.075,0.00228893208909901,0.197465161501652,0.238898493881308
0.05,0.075,-0.0853363902804094,0.206618481608151,0.249481902624703
